amount,transaction_hour,distance_from_usual_location,device_risk_score,location_risk_score,previous_failed_transactions,previous_fraud_history,recent_transaction_count,account_age_days,merchant_category,payment_method,is_fraud
473.35,22,46.67,0.057,0.035,1,0,2,377,travel,card,0
480.83,9,87.54,0.399,0.169,1,0,9,375,gaming,netbanking,0
2101.89,20,52.61,0.857,0.987,0,1,4,782,grocery,netbanking,1
2305.96,4,73.61,0.393,0.999,0,0,2,29,travel,netbanking,1
1887.78,21,14.73,0.118,0.72,2,0,9,148,travel,netbanking,0
563.68,4,55.0,0.266,0.612,0,0,4,1183,grocery,upi,0
1383.21,20,92.13,0.6,0.777,0,0,4,22,gaming,upi,1
1232.36,9,81.8,0.152,0.897,0,0,2,1546,fashion,upi,0
1364.7,23,41.11,0.655,0.519,1,0,5,1950,travel,card,1
2621.31,3,18.58,0.438,0.035,0,0,5,375,fashion,card,0
1371.41,11,233.26,0.334,0.709,1,0,1,119,fashion,upi,0
2162.27,21,74.28,0.241,0.985,1,0,6,428,fashion,upi,0
1173.3,1,54.35,0.823,0.258,0,0,3,96,electronics,netbanking,0
1464.28,6,13.64,0.397,0.463,0,0,7,545,travel,upi,0
2061.7,2,106.0,0.738,0.361,1,0,1,1781,electronics,upi,0
255.4,7,68.91,0.44,0.39,1,0,7,1641,gaming,upi,0
796.58,9,20.86,0.092,0.721,1,0,0,1952,grocery,upi,0
685.14,14,1.0,0.441,0.378,0,0,3,1625,gaming,upi,0
578.9,6,58.71,0.508,0.941,1,0,3,1690,electronics,card,0
832.85,3,15.86,0.458,0.79,1,0,8,1188,fashion,netbanking,0
4889.97,4,40.68,0.816,0.028,2,0,1,287,grocery,upi,0
461.36,22,92.61,0.911,0.819,2,0,3,1539,gaming,netbanking,0
2887.88,22,90.62,0.787,0.773,0,0,5,1282,travel,netbanking,0
203.8,5,6.37,0.583,0.516,0,0,4,1924,gaming,upi,0
784.55,4,32.59,0.541,0.497,1,0,1,1396,electronics,card,1
1290.46,1,174.59,0.645,0.836,1,0,1,1095,gaming,card,1
1970.85,23,23.85,0.288,0.425,1,0,3,1545,gaming,upi,0
2233.28,16,35.99,0.812,0.159,1,0,5,1315,grocery,netbanking,0
2424.42,18,41.82,0.857,0.313,0,1,3,234,electronics,netbanking,0
773.77,6,0.29,0.267,0.265,0,0,5,1226,travel,netbanking,0
690.66,15,101.92,0.903,0.681,1,0,4,787,electronics,card,0
2586.28,1,5.13,0.849,0.179,1,0,2,333,gaming,card,0
905.69,16,24.71,0.424,0.645,1,0,1,559,grocery,netbanking,0
306.22,13,18.92,0.909,0.466,0,0,3,1671,electronics,netbanking,0
353.09,7,67.22,0.12,0.84,0,0,7,1312,electronics,netbanking,0
437.27,17,34.05,0.028,0.485,0,0,2,125,travel,netbanking,0
1802.92,15,95.89,0.348,0.93,2,0,3,693,fashion,netbanking,0
1264.49,10,117.22,0.565,0.9,1,0,3,1374,grocery,upi,0
2187.44,4,12.31,0.351,0.185,1,0,9,1022,fashion,netbanking,1
715.33,0,16.38,0.942,0.686,1,0,1,1554,travel,upi,0
1285.03,22,73.03,0.255,0.215,1,0,8,1256,fashion,netbanking,0
2049.99,6,126.14,0.281,0.823,3,0,2,83,grocery,netbanking,1
804.85,7,243.9,0.635,0.636,1,0,2,1732,gaming,card,0
1731.56,16,18.81,0.004,0.294,1,0,3,1145,travel,netbanking,0
565.71,6,144.03,0.728,0.249,1,0,8,1842,electronics,netbanking,0
762.76,9,11.56,0.377,0.43,0,0,2,448,fashion,netbanking,0
748.64,17,40.84,0.978,0.801,0,0,3,1389,travel,upi,0
331.68,14,129.0,0.691,0.796,0,0,6,68,electronics,upi,0
1784.64,15,20.78,0.052,0.033,0,0,3,321,grocery,netbanking,0
685.81,0,13.63,0.093,0.302,2,0,6,1766,travel,card,0
1110.42,10,2.96,0.088,0.423,1,0,5,1778,electronics,upi,0
1773.56,11,73.43,0.953,0.586,1,0,4,1908,fashion,netbanking,0
1713.91,15,66.18,0.684,0.15,0,0,8,416,electronics,netbanking,0
2133.21,3,294.2,0.428,0.335,1,0,4,1785,grocery,card,0
993.78,3,52.43,0.2,0.886,1,0,2,115,fashion,card,0
718.17,18,15.77,0.874,0.477,0,0,3,807,gaming,upi,0
1012.61,16,36.51,0.202,0.744,1,0,7,880,gaming,card,1
202.89,19,4.95,0.707,0.485,1,0,7,1587,travel,netbanking,0
257.98,6,86.07,0.763,0.465,0,0,5,1372,electronics,netbanking,1
292.16,23,102.2,0.295,0.622,0,0,3,724,electronics,netbanking,0
404.54,6,19.59,0.505,0.259,0,0,2,307,electronics,upi,0
1635.62,15,23.77,0.223,0.25,0,0,5,736,grocery,card,0
443.42,3,6.18,0.379,0.989,0,0,5,605,gaming,upi,0
751.32,22,6.36,0.965,0.869,2,0,4,1343,electronics,card,0
4020.77,7,44.13,0.693,0.738,1,1,4,169,fashion,netbanking,0
767.96,19,59.53,0.847,0.137,0,0,6,828,electronics,netbanking,1
2292.77,7,1.02,0.541,0.03,1,0,6,1240,fashion,card,0
431.12,18,86.31,0.239,0.175,0,0,7,1296,gaming,card,0
892.98,10,26.94,0.713,0.938,0,0,1,1419,travel,card,1
424.1,1,65.58,0.501,0.816,0,0,5,579,gaming,netbanking,0
781.31,4,61.46,0.177,0.523,2,0,9,1044,electronics,card,0
2540.99,16,123.27,0.412,0.969,1,0,2,205,electronics,netbanking,0
194.94,4,156.73,0.635,0.147,0,0,1,894,fashion,netbanking,0
1693.28,6,151.98,0.735,0.559,2,0,5,1964,grocery,upi,1
1390.94,13,31.95,0.243,0.183,0,0,3,1696,grocery,card,0
605.38,6,76.0,0.876,0.306,0,0,1,1248,electronics,netbanking,0
258.25,3,12.99,0.38,0.94,0,0,3,844,travel,upi,0
1178.66,14,48.77,0.271,0.868,1,0,1,1802,travel,upi,0
645.81,16,28.58,0.195,0.102,1,0,7,889,grocery,netbanking,0
1383.92,17,31.44,0.804,0.25,0,0,1,1529,travel,netbanking,0
1120.86,22,117.84,0.354,0.595,0,0,2,1158,fashion,netbanking,0
5441.33,2,184.99,0.483,0.061,1,0,4,52,electronics,upi,0
863.2,10,32.39,0.223,0.55,3,0,7,1410,travel,netbanking,1
394.06,5,131.6,0.686,0.584,3,0,2,1787,electronics,upi,0
1311.96,21,45.27,0.781,0.291,0,0,3,1556,grocery,upi,0
1366.48,12,24.55,0.339,0.293,1,0,8,1233,fashion,upi,0
4269.22,2,38.72,0.945,0.229,0,0,1,91,travel,netbanking,0
2527.82,16,28.12,0.031,0.936,0,0,9,56,gaming,netbanking,0
1566.93,1,12.4,0.133,0.389,1,0,5,1703,grocery,netbanking,0
4737.68,6,3.61,0.589,0.585,1,0,4,955,grocery,card,0
334.03,17,2.19,0.701,0.302,1,0,4,908,fashion,netbanking,0
578.39,12,100.0,0.251,0.703,1,0,4,1285,gaming,card,0
434.16,18,65.05,0.554,0.101,0,0,6,1812,gaming,upi,0
742.62,13,33.61,0.318,0.072,0,0,5,879,gaming,card,0
276.81,20,49.64,0.554,0.744,0,0,4,1077,electronics,netbanking,0
2069.68,13,341.39,0.659,0.727,1,0,2,1121,fashion,netbanking,1
878.11,1,43.57,0.973,0.265,1,0,7,956,grocery,netbanking,1
251.94,1,18.89,0.456,0.355,2,1,2,1316,travel,card,1
397.19,18,95.33,0.648,0.957,1,0,4,398,gaming,netbanking,0
1500.44,0,10.04,0.578,0.104,2,0,2,752,fashion,card,0
2535.45,9,69.75,0.318,0.183,0,0,4,944,gaming,netbanking,0
8076.64,0,42.9,0.253,0.43,2,0,5,1043,gaming,upi,0
20208.58,7,62.43,0.988,0.282,0,0,5,990,fashion,card,0
1659.73,14,25.86,0.207,0.649,0,0,1,842,fashion,netbanking,0
407.67,4,39.04,0.79,0.691,1,0,3,1790,electronics,netbanking,0
130.05,11,110.53,0.147,0.526,1,0,7,1603,travel,card,0
1433.27,23,6.96,0.804,0.611,1,0,4,1775,grocery,upi,0
486.41,1,125.07,0.186,0.433,1,0,4,1193,travel,netbanking,1
723.89,1,141.98,0.967,0.76,1,0,3,977,gaming,card,0
594.61,6,37.59,0.686,0.042,2,0,2,867,grocery,upi,0
952.61,19,98.59,0.09,0.313,0,0,1,1736,travel,card,0
3184.28,9,77.37,0.693,0.684,1,0,1,1334,gaming,card,0
1283.12,15,57.53,0.604,0.33,0,0,3,1710,electronics,card,0
935.77,0,109.99,0.338,0.079,2,0,5,1701,travel,netbanking,0
389.3,17,33.76,0.261,0.345,1,0,5,1897,fashion,upi,0
205.47,1,145.74,0.719,0.711,5,0,6,1095,fashion,card,1
674.31,17,194.05,0.741,0.122,0,0,4,729,fashion,card,0
1039.21,3,75.99,0.327,0.725,0,0,3,1818,grocery,netbanking,0
6424.86,20,16.79,0.876,0.775,1,0,6,432,grocery,upi,0
1249.22,7,3.68,0.269,0.635,1,0,6,652,fashion,netbanking,0
2929.95,4,39.67,0.07,0.244,1,0,3,1888,gaming,netbanking,0
665.61,8,5.35,0.6,0.805,2,0,5,1430,electronics,upi,0
335.31,0,36.76,0.107,0.214,1,0,4,1173,travel,card,0
417.75,3,195.4,0.277,0.906,2,0,6,1065,grocery,netbanking,0
531.01,14,112.97,0.507,0.707,0,0,3,938,grocery,card,0
9213.91,7,6.24,0.286,0.055,0,0,4,1793,travel,netbanking,1
482.32,8,17.91,0.215,0.799,0,1,5,828,grocery,card,0
2536.37,19,88.17,0.703,0.506,1,0,3,964,travel,netbanking,0
444.55,2,243.83,0.547,0.453,4,0,5,178,travel,netbanking,1
2783.8,9,104.31,0.84,0.421,3,0,4,238,grocery,netbanking,0
1611.55,4,12.08,0.581,0.607,0,0,6,416,travel,card,1
937.64,11,39.73,0.483,0.725,2,0,5,606,travel,upi,0
1052.83,7,124.85,0.261,0.896,1,0,0,590,grocery,card,0
569.76,1,66.69,0.792,0.273,1,0,0,1337,electronics,netbanking,0
1713.12,1,36.26,0.197,0.631,0,0,7,1107,travel,card,0
695.77,20,478.95,0.242,0.686,0,0,5,18,gaming,netbanking,1
321.95,1,99.8,0.842,0.675,0,1,4,1038,travel,card,1
305.53,18,51.41,0.741,0.493,0,0,7,173,fashion,card,0
1303.21,21,90.45,0.613,0.391,0,0,5,1090,travel,netbanking,0
5319.27,11,21.02,0.039,0.762,0,0,1,109,gaming,netbanking,0
1286.9,7,146.43,0.127,0.3,1,0,4,162,gaming,netbanking,0
973.95,18,58.35,0.5,0.208,1,0,2,1653,travel,upi,0
1459.47,23,93.65,0.746,0.546,0,0,2,29,electronics,card,1
4048.1,2,417.94,0.464,0.268,4,0,6,1945,travel,upi,0
1365.65,23,55.3,0.017,0.033,1,0,2,931,gaming,upi,0
727.11,22,51.4,0.184,0.052,3,0,3,1654,travel,card,0
3315.25,3,61.05,0.589,0.695,0,0,5,395,electronics,upi,1
1683.71,1,33.85,0.694,0.973,0,0,7,938,fashion,upi,1
5093.68,17,68.39,0.033,0.455,0,0,6,1784,grocery,netbanking,0
1317.16,1,5.84,0.043,0.147,2,0,6,163,electronics,card,1
322.32,14,155.08,0.261,0.818,1,0,2,867,grocery,netbanking,0
279.18,1,357.65,0.084,0.261,1,0,3,254,gaming,netbanking,0
5715.45,16,54.3,0.542,0.996,1,0,4,710,gaming,netbanking,0
6146.67,5,0.91,0.124,0.563,2,0,7,1941,gaming,netbanking,0
916.43,2,27.37,0.648,0.233,1,0,6,1092,grocery,netbanking,0
747.56,1,0.9,0.777,0.496,0,0,2,674,gaming,card,1
4728.88,4,13.34,0.971,0.335,1,0,6,1260,electronics,upi,1
362.47,12,188.88,0.948,0.779,1,0,9,570,gaming,netbanking,1
448.21,1,40.27,0.273,0.106,1,0,3,173,electronics,card,0
2086.67,19,53.6,0.029,0.857,1,0,5,1134,electronics,netbanking,1
739.07,14,65.05,0.329,0.767,3,0,2,1485,fashion,netbanking,1
1091.03,7,18.92,0.708,0.861,2,0,2,365,fashion,upi,0
931.28,23,152.42,0.06,0.895,0,0,4,283,electronics,card,0
1536.98,15,79.27,0.36,0.23,0,0,2,1199,gaming,upi,0
4480.46,16,83.11,0.298,0.521,3,0,2,779,grocery,upi,0
1200.61,4,59.73,0.219,0.85,0,0,3,1871,gaming,card,0
2087.95,17,97.93,0.706,0.377,1,0,4,720,travel,netbanking,0
141.15,13,42.94,0.659,0.06,0,0,4,790,travel,netbanking,0
1044.49,23,119.96,0.535,0.292,0,0,2,1142,gaming,upi,0
471.9,11,66.12,0.911,0.242,0,0,1,1956,grocery,card,1
324.14,16,3.87,0.103,0.87,0,0,6,1382,gaming,upi,0
455.71,8,7.47,0.15,0.464,1,0,3,1335,electronics,upi,0
785.15,0,37.94,0.383,0.684,0,0,5,1603,gaming,upi,0
2740.52,3,2.65,0.656,0.962,2,0,2,1633,fashion,upi,1
291.08,20,6.44,0.584,0.299,1,0,0,1059,electronics,card,0
1130.74,17,37.02,0.074,0.761,1,0,1,580,grocery,netbanking,0
675.75,8,27.67,0.958,0.023,0,0,7,319,grocery,card,0
790.23,16,82.15,0.305,0.104,1,0,7,1138,grocery,netbanking,0
2989.19,0,23.44,0.359,0.162,0,0,3,1394,grocery,upi,0
1878.29,0,24.83,0.624,0.312,0,0,3,738,fashion,netbanking,0
4177.21,12,36.58,0.945,0.403,0,0,1,962,gaming,card,0
939.64,14,3.02,0.663,0.477,0,0,1,896,fashion,netbanking,0
546.79,22,81.67,0.955,0.245,1,0,5,1181,fashion,netbanking,0
876.68,18,105.64,0.188,0.066,0,0,2,1639,gaming,netbanking,0
1397.58,6,282.12,0.619,0.678,0,0,6,892,fashion,upi,1
1308.42,19,120.66,0.829,0.024,0,1,3,1043,grocery,upi,1
370.78,11,30.0,0.509,0.809,1,0,2,838,travel,netbanking,0
1200.5,19,118.17,0.362,0.929,0,0,2,610,fashion,upi,0
1377.78,4,402.86,0.985,0.71,0,0,4,1405,travel,netbanking,1
13595.23,0,19.47,0.141,0.596,1,0,2,1237,electronics,card,0
7164.15,1,253.02,0.411,0.657,0,0,6,1052,travel,upi,1
467.2,23,34.66,0.873,0.652,2,0,4,596,fashion,card,0
822.72,1,4.76,0.9,0.932,0,0,6,1736,electronics,upi,0
253.8,22,5.49,0.98,0.964,0,0,4,1611,electronics,netbanking,0
607.46,17,16.64,0.885,0.427,1,0,4,1489,travel,netbanking,1
1503.58,3,88.71,0.051,0.617,1,0,4,1632,travel,upi,0
3662.33,20,99.69,0.93,0.803,0,0,3,957,electronics,card,0
528.96,3,93.35,0.428,0.001,0,0,6,1259,electronics,upi,0
570.12,3,40.11,0.652,0.527,3,0,7,436,grocery,upi,0
128.09,13,65.4,0.394,0.653,1,0,5,1568,fashion,netbanking,0
932.0,6,97.65,0.814,0.717,0,0,3,44,electronics,card,0
379.02,6,60.95,0.576,0.369,2,0,4,1021,gaming,upi,0
645.85,4,47.91,0.846,0.296,0,0,6,418,gaming,netbanking,0
456.29,14,21.99,0.194,0.182,0,0,3,1195,fashion,upi,0
997.98,0,38.56,0.185,0.558,0,0,4,569,gaming,netbanking,0
189.1,5,116.6,0.44,0.919,0,0,3,1929,gaming,card,0
252.89,13,62.84,0.005,0.896,1,0,4,245,fashion,upi,0
9221.08,11,17.65,0.693,0.36,1,0,4,1646,electronics,upi,0
302.65,16,21.21,0.296,0.258,0,0,3,1341,gaming,upi,1
366.21,5,124.97,0.557,0.789,0,0,1,1991,electronics,upi,0
6883.71,15,189.11,0.07,0.725,0,0,2,658,grocery,upi,0
20031.62,18,28.65,0.171,0.505,1,0,5,1413,travel,upi,0
339.83,9,40.15,0.623,0.389,1,0,4,70,grocery,upi,0
758.81,6,0.38,0.306,0.124,2,0,4,1357,grocery,netbanking,0
1543.11,13,9.13,0.215,0.785,3,0,6,879,grocery,upi,0
6177.68,13,96.07,0.229,0.617,1,0,3,1455,gaming,upi,0
408.77,2,320.61,0.215,0.377,2,0,4,1570,grocery,netbanking,1
858.1,13,73.93,0.623,0.919,1,1,5,978,electronics,card,1
2385.91,3,64.24,0.168,0.66,0,0,6,686,fashion,card,1
1693.86,13,119.9,0.363,0.929,2,0,3,1428,gaming,card,0
752.83,22,27.29,0.688,0.474,1,0,4,1805,grocery,card,0
959.27,12,63.32,0.514,0.455,2,0,2,725,gaming,card,0
277.3,18,39.37,0.597,0.937,0,0,7,1707,gaming,card,0
864.22,7,38.46,0.251,0.96,0,0,5,893,gaming,upi,0
840.18,22,16.4,0.933,0.961,1,0,4,1779,fashion,netbanking,0
1383.22,19,46.84,0.414,0.819,0,0,5,1301,travel,upi,0
629.34,22,57.58,0.287,0.462,2,0,2,1338,grocery,netbanking,0
1757.31,17,153.63,0.904,0.21,2,0,4,1379,grocery,netbanking,0
3019.11,15,243.56,0.655,0.383,2,0,5,1615,gaming,card,0
1281.04,12,7.46,0.614,0.938,0,0,6,1723,gaming,card,0
1558.93,22,9.61,0.887,0.364,0,0,5,784,gaming,upi,0
1156.5,20,141.75,0.059,0.757,1,0,3,1494,fashion,netbanking,0
1096.73,10,66.15,0.838,0.923,1,0,2,1389,travel,netbanking,1
532.96,2,112.9,0.678,0.97,1,0,5,1187,grocery,card,0
1504.92,0,8.07,0.36,0.948,1,0,3,455,grocery,card,0
994.97,5,13.54,0.256,0.555,0,0,10,936,electronics,netbanking,0
8894.32,1,65.53,0.105,0.492,0,0,3,417,travel,netbanking,0
5288.84,5,45.53,0.941,0.988,1,0,3,281,electronics,netbanking,0
1612.99,2,48.63,0.142,0.218,0,0,7,1887,travel,netbanking,0
511.29,23,181.12,0.259,0.188,0,0,2,1450,fashion,card,0
360.53,2,109.46,0.691,0.963,0,0,2,1102,fashion,netbanking,0
3608.84,15,38.76,0.71,0.689,1,0,8,889,gaming,netbanking,0
1426.17,8,180.65,0.161,0.536,0,0,5,152,electronics,upi,0
1772.49,4,47.32,0.814,0.132,1,0,1,708,gaming,card,1
191.6,16,109.97,0.51,0.513,0,0,1,402,gaming,upi,0
2772.32,23,106.56,0.848,0.944,0,0,4,1081,electronics,upi,0
1727.48,18,35.53,0.087,0.603,2,0,5,928,electronics,card,0
361.25,23,86.18,0.043,0.405,3,0,3,1927,gaming,card,0
684.35,14,198.68,0.637,0.551,1,0,5,1693,gaming,card,0
1427.55,16,178.87,0.15,0.886,0,1,5,1205,travel,card,0
1155.71,3,73.1,0.525,0.913,2,0,3,1792,grocery,card,0
818.79,20,21.44,0.014,0.4,4,0,1,665,fashion,netbanking,0
988.82,17,25.2,0.78,0.608,2,0,4,235,gaming,card,0
852.37,6,123.71,0.9,0.279,0,0,2,1125,travel,upi,0
1277.38,8,59.99,0.839,0.451,1,0,6,133,grocery,netbanking,0
4776.64,14,60.96,0.958,0.22,0,0,4,1886,fashion,card,0
84.21,0,4.45,0.903,0.531,0,0,1,252,fashion,upi,0
865.36,19,23.7,0.444,0.578,0,0,3,1714,gaming,card,0
1308.34,6,89.31,0.398,0.338,0,0,3,1346,gaming,card,0
1474.38,1,23.04,0.896,0.272,2,0,0,501,travel,upi,1
756.03,7,13.2,0.927,0.151,0,0,3,1070,electronics,upi,0
189.29,20,31.76,0.973,0.14,0,0,9,1092,grocery,netbanking,0
1522.33,6,93.62,0.768,0.711,0,0,2,1478,grocery,upi,0
6169.36,12,95.77,0.202,0.222,2,0,6,859,gaming,card,0
236.55,19,63.62,0.945,0.118,1,0,5,1190,gaming,card,0
2601.46,0,51.09,0.947,0.999,0,0,3,837,fashion,upi,0
789.56,18,164.49,0.666,0.26,1,0,4,200,gaming,card,0
1031.4,6,149.02,0.857,0.896,1,0,1,1424,electronics,card,0
382.64,16,42.95,0.561,0.609,1,0,5,522,fashion,upi,0
784.89,4,172.87,0.944,0.715,0,0,1,565,electronics,card,1
4024.05,3,191.19,0.094,0.561,0,0,7,669,electronics,netbanking,0
1963.84,18,86.38,0.864,0.181,2,0,5,1137,fashion,netbanking,0
6200.04,19,42.17,0.056,0.847,0,0,3,1418,grocery,card,1
3559.63,23,61.08,0.339,0.828,0,0,0,1631,travel,netbanking,0
1701.2,16,24.4,0.135,0.35,0,0,4,1197,travel,netbanking,0
6272.53,11,144.14,0.479,0.764,1,1,1,801,travel,upi,1
1701.04,4,50.93,0.232,0.543,0,0,2,1894,fashion,upi,0
2509.87,7,118.31,0.952,0.909,1,0,4,955,electronics,upi,1
815.2,15,117.52,0.559,0.803,0,0,4,299,grocery,upi,0
1172.09,8,4.83,0.898,0.041,0,0,3,1605,fashion,card,0
545.98,11,159.46,0.278,0.879,0,0,5,1877,grocery,card,1
2950.07,4,15.54,0.026,0.969,1,1,2,588,gaming,netbanking,1
337.54,10,25.73,0.776,0.742,1,0,3,448,gaming,upi,0
2397.9,5,65.06,0.702,0.12,2,0,7,710,electronics,card,0
906.28,2,68.38,0.545,0.807,0,0,7,693,fashion,upi,0
3537.75,3,38.34,0.815,0.647,0,0,2,393,travel,upi,1
2323.59,12,37.99,0.84,0.339,1,0,5,78,fashion,card,0
6772.64,8,110.53,0.588,0.884,1,0,5,383,electronics,card,0
2277.37,2,59.47,0.966,0.566,0,0,4,600,gaming,netbanking,0
227.68,12,96.83,0.72,0.853,1,0,1,384,gaming,upi,0
1025.61,3,167.33,0.677,0.67,2,0,5,407,travel,upi,1
339.68,0,48.59,0.361,0.289,1,0,8,1887,gaming,card,0
653.09,3,52.07,0.002,0.975,3,0,2,442,electronics,card,0
4970.26,10,38.59,0.241,0.571,1,0,0,1644,fashion,upi,0
2074.62,22,27.85,0.764,0.517,0,0,1,1148,gaming,card,0
545.15,5,148.63,0.71,0.404,1,0,5,877,fashion,card,0
397.93,6,11.03,0.331,0.136,0,0,8,1563,gaming,card,0
1133.18,5,100.8,0.626,0.686,0,0,3,43,electronics,netbanking,0
324.87,8,42.67,0.195,0.431,2,0,0,1492,grocery,netbanking,0
560.52,17,47.7,0.264,0.935,0,0,8,838,travel,card,1
1498.18,7,216.68,0.947,0.965,1,0,5,1660,electronics,card,1
3481.83,15,35.51,0.413,0.768,0,0,5,1925,fashion,netbanking,1
2015.78,21,41.02,0.245,0.242,0,0,4,1465,electronics,upi,0
110.91,22,21.64,0.487,0.716,1,0,1,237,gaming,netbanking,0
1486.78,13,45.48,0.387,0.02,2,0,0,1953,grocery,netbanking,0
1178.54,17,18.21,0.73,0.826,1,0,2,1522,gaming,netbanking,0
1658.87,22,67.65,0.962,0.494,0,0,5,46,electronics,card,0
5520.42,18,33.88,0.592,0.937,0,0,2,388,electronics,upi,0
139.32,7,47.53,0.591,0.378,2,0,1,1975,grocery,upi,0
607.22,3,198.23,0.365,0.263,1,0,3,1674,fashion,netbanking,0
1980.11,2,350.75,0.565,0.995,1,0,3,825,fashion,upi,1
225.52,21,15.72,0.319,0.531,0,0,3,1913,gaming,netbanking,1
4797.97,13,164.41,0.001,0.863,1,0,5,960,grocery,netbanking,0
1585.03,7,2.94,0.866,0.911,0,0,6,1735,travel,netbanking,0
2556.98,8,63.81,0.429,0.518,0,0,5,1158,gaming,upi,0
619.59,6,246.74,0.492,0.456,0,0,8,1323,grocery,upi,0
2474.43,19,68.39,0.084,0.553,1,0,3,26,travel,card,0
3192.22,14,206.51,0.837,0.848,1,0,1,1940,electronics,netbanking,0
1384.2,21,103.54,0.17,0.965,1,0,2,371,electronics,card,0
1386.31,7,50.74,0.411,0.328,1,0,4,434,fashion,card,1
1437.04,11,71.47,0.84,0.739,1,0,5,897,gaming,upi,0
462.5,2,69.19,0.458,0.285,1,0,3,1512,grocery,upi,0
946.22,23,107.2,0.931,0.611,0,0,3,1541,fashion,upi,0
941.5,12,44.16,0.209,0.805,1,0,1,1256,electronics,card,0
1609.04,13,48.44,0.715,0.886,0,0,4,1741,fashion,netbanking,0
2980.43,9,324.97,0.978,0.449,1,0,7,1390,gaming,netbanking,1
380.49,6,24.83,0.55,0.37,0,0,2,303,gaming,card,0
967.77,22,28.86,0.692,0.253,1,0,4,1569,grocery,upi,0
4824.47,11,44.12,0.393,0.133,0,0,6,533,gaming,card,0
521.34,16,49.47,0.751,0.365,0,0,2,1044,gaming,netbanking,0
481.91,0,19.87,0.909,0.872,0,0,5,1218,fashion,upi,0
1342.52,6,23.76,0.703,0.419,0,0,5,790,electronics,upi,0
2551.37,19,4.72,0.936,0.317,1,0,6,728,fashion,card,1
1109.24,2,21.58,0.589,0.739,0,0,3,543,grocery,netbanking,0
4142.11,2,87.13,0.577,0.216,1,0,4,602,electronics,upi,0
2583.23,19,46.68,0.305,0.256,0,0,5,1972,gaming,netbanking,1
2544.83,7,13.61,0.71,0.936,0,0,4,772,fashion,card,0
1908.58,6,1.57,0.882,0.082,0,0,5,950,electronics,card,0
11244.71,13,29.73,0.646,0.415,0,0,1,1406,travel,netbanking,0
893.22,4,10.58,0.233,0.577,0,0,2,504,grocery,card,0
147.89,1,1.39,0.544,0.23,3,0,6,405,gaming,card,1
5454.82,0,107.28,0.756,0.281,1,0,4,428,travel,card,1
693.88,1,97.73,0.939,0.222,0,0,3,133,travel,upi,1
1221.56,3,20.67,0.157,0.345,2,0,5,908,electronics,card,0
